Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jake Schrand",,0.0406,0.0618,0.0087,5.8464,0.845,0.033,0,0,,1,4.646,1.1124,0.6893,0.6496,0.169667,0.5899,0.0237,0.043,0.6417,5.7753,5.3091,1.08781,1.527,0.138119,0.126969,0.011149376630783081,0.277192,1.7023,0.294445,0.691578,0.383992,,5.9561,-0.0174178,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jake Schrand","sa3016938",680801
"Ignacio Briceno",,0.0413,0.0566,0,5.65038,1,0,0,0,,1,4.717,1.1211,0.6722,0.62782,0.138444,0.6756,0.0286,0.0487,0.5753,5.1777,6.0804,0.851539,1.246,0.121963,0.143227,-0.021263517439365387,0.280787,1.7967,0.299686,0.701551,0.445998,,5.95721,-0.0174301,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ignacio Briceno","sa3015459",692829
"Alexander Campos","TBR",0.0382,0.0653,0.0103,5.96835,0.8095,0.0405,0,0,,1,4.646,1.1588,0.704,0.66315,0.174222,0.545,0.0227,0.0427,0.5501,4.9509,4.905,1.00936,1.568,0.118403,0.117305,0.0010977238416671753,0.285538,1.7038,0.295316,0.684847,0.39756,,6.06293,-0.0174304,-0.047529,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Alexander Campos","sa3022221",814226
"D.J. Carpenter","STL",0.0408,0.0571,0,5.53887,1,0,0,0,,1,4.673,1.0652,0.657,0.61543,0.144556,0.6713,0.0284,0.0444,0.684,6.156,6.0417,1.01892,1.301,0.146373,0.143655,0.002717733383178711,0.269173,1.7365,0.294254,0.70366,0.411248,,5.79346,-0.0174385,-0.0484393,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"D.J. Carpenter","sa3020444",681884
"Matt Wyatt",,0.0409,0.057,0,5.75262,1,0,0,0,,1,4.724,1.1029,0.6838,0.63918,0.139889,0.7056,0.0287,0.0467,0.6262,5.6358,6.3504,0.887472,1.259,0.132557,0.149365,-0.01680779457092285,0.27769,1.8085,0.300414,0.697421,0.454011,,5.95819,-0.0174409,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Matt Wyatt","sa3020832",687993
"Bailey Reid",,0.0408,0.0571,0,5.80302,1,0,0,0,,1,4.719,1.0645,0.6859,0.64478,0.152111,0.7132,0.0286,0.0538,0.7262,6.5358,6.4188,1.01823,1.369,0.153889,0.151134,0.0027548223733901978,0.269357,1.7777,0.296838,0.69775,0.401998,,5.96118,-0.0174738,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Bailey Reid","sa3014867",690232
"Trey Dillard","SFG",0.0409,0.0598,0.0061,5.53635,0.9002,0.0212,0,0,,1,4.676,1.0756,0.6575,0.61515,0.138333,0.652,0.0255,0.0467,0.7156,6.4404,5.868,1.09755,1.245,0.153037,0.139435,0.013601377606391907,0.270435,1.7276,0.300082,0.697618,0.426418,,5.59837,-0.0174792,-0.0497408,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Trey Dillard","sa3023309",669366
"Shane Telfer",,0.0413,0.0566,0,5.67,1,0,0,0,,1,4.701,1.0801,0.671,0.63,0.151,0.6847,0.0285,0.0463,0.6645,5.9805,6.1623,0.970498,1.359,0.141353,0.14565,-0.0042969584465026855,0.272065,1.7648,0.294532,0.704133,0.395998,,5.96214,-0.0174843,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Shane Telfer","sa3022736",801841
"Camilo Hernandez","ATH",0.041,0.0569,0,5.9859,1,0,0,0,,1,4.737,1.1356,0.7101,0.6651,0.147889,0.6977,0.0287,0.046,0.5784,5.2056,6.2793,0.82901,1.331,0.122103,0.147287,-0.025184720754623413,0.284376,1.8333,0.302329,0.690666,0.455379,,6.13199,-0.0175014,-0.0450323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Camilo Hernandez","sa3018899",804876
"Jose Romero","CHC",0.0422,0.0558,0,5.55165,1,0,0,0,,1,4.69,1.036,0.6597,0.61685,0.141,0.7199,0.0285,0.0622,0.7243,6.5187,6.4791,1.00611,1.269,0.154435,0.153497,0.0009381771087646484,0.265104,1.7559,0.294156,0.703369,0.434008,,5.86584,-0.0175041,-0.047657,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jose Romero","sa3015483",696098
